County,NAME,tot_housing,urban_hous,rural_hous,pct_urban,pct_rural,hshld_income,moe,total_pop,pop_density,housing_density,county_name
06011,"Colusa County, California",7883,4941,2942,0.63,0.37,48016,4404,21419,18.6,6.9,Colusa County
06007,"Butte County, California",95835,76924,18911,0.8,0.2,43170,982,220000,134.4,58.6,Butte County
06001,"Alameda County, California",582549,580275,2274,1,0,69384,876,1510271,2043.6,788.3,Alameda County
06003,"Alpine County, California",1760,0,1760,0,1,63478,16309,1175,1.6,2.4,Alpine County
06005,"Amador County, California",18032,5292,12740,0.29,0.71,54758,3340,38091,64.1,30.3,Amador County
06009,"Calaveras County, California",27925,4915,23010,0.18,0.82,54971,4905,45578,44.7,27.4,Calaveras County
06013,"Contra Costa County, California",400263,397012,3251,0.99,0.01,78385,859,1049025,1465.2,559.1,Contra Costa County
06015,"Del Norte County, California",11186,6690,4496,0.6,0.4,36118,4870,28610,28.4,11.1,Del Norte County
06031,"Kings County, California",43867,38311,5556,0.87,0.13,48684,1892,152982,110.1,31.6,Kings County
06021,"Glenn County, California",10778,6262,4516,0.58,0.42,43074,2413,28122,21.4,8.2,Glenn County
06023,"Humboldt County, California",61559,41268,20291,0.67,0.33,40089,1219,134623,37.7,17.3,Humboldt County
06025,"Imperial County, California",56067,45363,10704,0.81,0.19,38685,1312,174528,41.8,13.4,Imperial County
06017,"El Dorado County, California",88159,55624,32535,0.63,0.37,70000,1769,181058,106.0,51.6,El Dorado County
06019,"Fresno County, California",315531,279288,36243,0.89,0.11,46430,658,930450,156.2,53.0,Fresno County
06027,"Inyo County, California",9478,4619,4859,0.49,0.51,44808,3693,18546,1.8,0.9,Inyo County
06029,"Kern County, California",284367,248791,35576,0.87,0.13,47089,691,839631,103.3,35.0,Kern County
06043,"Mariposa County, California",10188,0,10188,0,1,49098,5838,18251,12.6,7.0,Mariposa County
06033,"Lake County, California",35492,23281,12211,0.66,0.34,39491,1615,64665,51.5,28.2,Lake County
06035,"Lassen County, California",12710,4447,8263,0.35,0.65,50317,4275,34895,7.7,2.8,Lassen County
06037,"Los Angeles County, California",3445076,3420978,24098,0.99,0.01,55476,234,9818605,2419.6,849.0,Los Angeles County
06039,"Madera County, California",49140,29818,19322,0.61,0.39,46039,1652,150865,70.6,23.0,Madera County
06041,"Marin County, California",111214,101808,9406,0.92,0.08,89268,1957,252409,485.1,213.7,Marin County
06059,"Orange County, California",1048907,1047133,1774,1,0,74344,498,3010232,3807.7,1326.8,Orange County
06045,"Mendocino County, California",40323,19519,20804,0.48,0.52,43759,1346,87841,25.1,11.5,Mendocino County
06047,"Merced County, California",83698,70949,12749,0.85,0.15,43844,1566,255793,132.2,43.3,Merced County
06049,"Modoc County, California",5192,1416,3776,0.27,0.73,34588,2797,9686,2.5,1.3,Modoc County
06051,"Mono County, California",13912,8420,5492,0.61,0.39,55087,7461,14202,4.7,4.6,Mono County
06053,"Monterey County, California",139048,121490,17558,0.87,0.13,59271,1270,415057,126.5,42.4,Monterey County
06055,"Napa County, California",54759,45171,9588,0.82,0.18,67389,2141,136484,182.4,73.2,Napa County
06057,"Nevada County, California",52590,28179,24411,0.54,0.46,57121,1881,98764,103.1,54.9,Nevada County
06071,"San Bernardino County, California",699637,646367,53270,0.92,0.08,55845,482,2035210,101.5,34.9,San Bernardino County
06067,"Sacramento County, California",555932,544855,11077,0.98,0.02,56439,590,1418788,1470.8,576.3,Sacramento County
06069,"San Benito County, California",17870,12938,4932,0.72,0.28,65771,2445,55269,39.8,12.9,San Benito County
06061,"Placer County, California",152648,122635,30013,0.8,0.2,74447,1226,348432,247.6,108.5,Placer County
06063,"Plumas County, California",15566,2579,12987,0.17,0.83,44000,2761,20007,7.8,6.1,Plumas County
06065,"Riverside County, California",800707,755458,45249,0.94,0.06,57768,598,2189641,303.8,111.1,Riverside County
06077,"San Joaquin County, California",233755,213651,20104,0.91,0.09,54341,909,685306,492.6,168.0,San Joaquin County
06073,"San Diego County, California",1164786,1123536,41250,0.96,0.04,63069,464,3095313,735.8,276.9,San Diego County
06075,"San Francisco County, California",376942,376941,1,1,0,71304,899,805235,17179.2,8041.8,San Francisco County
06093,"Siskiyou County, California",23910,7549,16361,0.32,0.68,36981,1402,44900,7.2,3.8,Siskiyou County
06079,"San Luis Obispo County, California",117315,96921,20394,0.83,0.17,57365,1444,269637,81.7,35.6,San Luis Obispo County
06081,"San Mateo County, California",271031,264988,6043,0.98,0.02,85648,877,718451,1602.2,604.4,San Mateo County
06083,"Santa Barbara County, California",152834,143442,9392,0.94,0.06,60078,1101,423895,155.0,55.9,Santa Barbara County
06085,"Santa Clara County, California",631920,624604,7316,0.99,0.01,86850,730,1781642,1381.0,489.8,Santa Clara County
06087,"Santa Cruz County, California",104476,90043,14433,0.86,0.14,65253,1187,262382,589.4,234.7,Santa Cruz County
06089,"Shasta County, California",77313,53367,23946,0.69,0.31,43944,1009,177223,46.9,20.5,Shasta County
06091,"Sierra County, California",2328,7,2321,0,1,52950,11434,3240,3.4,2.4,Sierra County
06115,"Yuba County, California",27635,19160,8475,0.69,0.31,46807,2824,72155,114.2,43.7,Yuba County
06095,"Solano County, California",152698,146654,6044,0.96,0.04,68409,1175,413344,503.0,185.8,Solano County
06097,"Sonoma County, California",204572,172126,32446,0.84,0.16,63274,1032,483878,307.1,129.8,Sonoma County
06099,"Stanislaus County, California",179503,164402,15101,0.92,0.08,51094,771,514453,344.2,120.1,Stanislaus County
06101,"Sutter County, California",33858,28491,5367,0.84,0.16,50944,1785,94737,157.3,56.2,Sutter County
06103,"Tehama County, California",26987,12600,14387,0.47,0.53,38137,1107,63463,21.5,9.1,Tehama County
06105,"Trinity County, California",8681,0,8681,0,1,38725,4735,13786,4.3,2.7,Trinity County
06111,"Ventura County, California",281695,271912,9783,0.97,0.03,75348,951,823318,446.7,152.8,Ventura County
06113,"Yolo County, California",75054,69421,5633,0.92,0.08,57077,1608,200849,197.9,74.0,Yolo County
06107,"Tulare County, California",141696,116509,25187,0.82,0.18,43851,860,442179,91.7,29.4,Tulare County
06109,"Tuolumne County, California",31244,15348,15896,0.49,0.51,47462,2518,55365,24.9,14.1,Tuolumne County
