GEOID,NAME,male_0to5,male_5to9,male_10to14,male_15to17,female_0to5,female_5to9,female_10to14,female_15to17,under_18,under_18_male,under_18_female
06011,"Colusa County, California",987,914,881,622,854,819,811,522,6410,3404,3006
06007,"Butte County, California",6243,6320,6616,4369,6166,6119,6295,4040,46168,23548,22620
06001,"Alameda County, California",50259,48145,46403,29661,47393,46401,44667,27692,340621,174468,166153
06003,"Alpine County, California",40,36,26,15,31,44,43,21,256,117,139
06005,"Amador County, California",697,819,934,795,734,836,947,631,6393,3245,3148
06009,"Calaveras County, California",1000,1149,1429,1061,992,1090,1341,881,8943,4639,4304
06013,"Contra Costa County, California",34004,36983,38052,24060,33014,35302,36392,22698,260505,133099,127406
06015,"Del Norte County, California",850,827,872,589,853,740,846,561,6138,3138,3000
06031,"Kings County, California",6543,5904,5749,3464,6334,5660,5575,3319,42548,21660,20888
06021,"Glenn County, California",1116,1050,1163,690,1062,1065,1064,655,7865,4019,3846
06023,"Humboldt County, California",3977,3699,3721,2469,3761,3625,3521,2288,27061,13866,13195
06025,"Imperial County, California",6874,7028,7593,4646,6652,6813,6943,4549,51098,26141,24957
06017,"El Dorado County, California",4870,5664,6410,4128,4643,5462,6096,3902,41175,21072,20103
06019,"Fresno County, California",40476,38161,38453,24738,38504,36879,36956,23340,277507,141828,135679
06027,"Inyo County, California",560,529,580,350,510,456,554,361,3900,2019,1881
06029,"Kern County, California",36952,35022,34899,22744,35933,33672,33574,21285,254081,129617,124464
06043,"Mariposa County, California",381,426,495,321,394,395,492,338,3242,1623,1619
06033,"Lake County, California",1873,1841,2044,1318,1760,1733,1844,1259,13672,7076,6596
06035,"Lassen County, California",866,850,933,643,759,745,920,577,6293,3292,3001
06037,"Los Angeles County, California",330265,323676,347102,227105,315528,310014,331743,216775,2402208,1228148,1174060
06039,"Madera County, California",6052,5899,6093,3871,5931,5857,5662,3484,42849,21915,20934
06041,"Marin County, California",7118,7919,7153,4443,6814,7562,7088,4117,52214,26633,25581
06059,"Orange County, California",98332,101577,107446,69955,93359,97192,102749,66049,736659,377310,359349
06045,"Mendocino County, California",2786,2656,2735,1857,2561,2603,2655,1608,19461,10034,9427
06047,"Merced County, California",11407,11312,11387,7375,10819,10855,10728,6815,80698,41481,39217
06049,"Modoc County, California",271,297,298,229,274,267,304,184,2124,1095,1029
06051,"Mono County, California",439,427,380,251,454,401,390,237,2979,1497,1482
06053,"Monterey County, California",16723,15797,14861,9703,15824,14780,14176,9149,111013,57084,53929
06055,"Napa County, California",4196,4411,4639,2907,3935,4165,4401,2832,31486,16153,15333
06057,"Nevada County, California",2260,2510,3016,2043,2105,2440,2782,1950,19106,9829,9277
06071,"San Bernardino County, California",81204,80826,86488,56071,77586,76542,82304,53567,594588,304589,289999
06067,"Sacramento County, California",51669,50022,51128,32953,49394,48090,48692,31105,363053,185772,177281
06069,"San Benito County, California",2068,2202,2462,1456,2024,2124,2247,1483,16066,8188,7878
06061,"Placer County, California",10613,12077,12686,7978,10238,11527,12300,7666,85085,43354,41731
06063,"Plumas County, California",463,473,536,368,420,495,486,360,3601,1840,1761
06065,"Riverside County, California",82754,85020,90683,57907,79684,82045,86961,55054,620108,316364,303744
06077,"San Joaquin County, California",27820,27980,28769,18522,26408,26830,27396,16999,200724,103091,97633
06073,"San Diego County, California",103833,99321,101903,66342,99590,94708,96813,61658,724168,371399,352769
06075,"San Francisco County, California",17963,14466,13467,8861,17240,13996,12832,8699,107524,54757,52767
06093,"Siskiyou County, California",1291,1204,1408,942,1182,1206,1318,774,9325,4845,4480
06079,"San Luis Obispo County, California",6829,6945,7259,4955,6514,6828,6942,4569,50841,25988,24853
06081,"San Mateo County, California",23652,22820,21750,13417,22708,21909,20713,12803,159772,81639,78133
06083,"Santa Barbara County, California",13873,13397,13717,9245,13477,12906,12909,8523,98047,50232,47815
06085,"Santa Clara County, California",63660,62320,58180,35810,60804,59608,55390,33773,429545,219970,209575
06087,"Santa Cruz County, California",7744,7700,7916,5047,7301,7371,7431,4908,55418,28407,27011
06089,"Shasta County, California",5307,5375,5967,3868,4961,5162,5427,3585,39652,20517,19135
06091,"Sierra County, California",69,69,92,56,78,62,64,62,552,286,266
06115,"Yuba County, California",3216,3086,2823,1715,3001,2786,2724,1639,20990,10840,10150
06095,"Solano County, California",13819,13951,14652,9561,13033,13360,13923,9236,101535,51983,49552
06097,"Sonoma County, California",14419,14967,15176,10016,13780,14296,14548,9269,106471,54578,51893
06099,"Stanislaus County, California",20327,20402,21399,13633,19452,19611,19877,12457,147158,75761,71397
06101,"Sutter County, California",3621,3763,3615,2370,3532,3529,3531,2151,26112,13369,12743
06103,"Tehama County, California",2263,2217,2242,1556,2146,2109,2189,1438,16160,8278,7882
06105,"Trinity County, California",333,333,353,253,285,307,391,265,2520,1272,1248
06111,"Ventura County, California",28201,28896,31030,20117,27135,28074,29360,19102,211915,108244,103671
06113,"Yolo County, California",6429,6195,6545,4189,6148,6040,6148,3937,45631,23358,22273
06107,"Tulare County, California",21004,20388,19801,12427,20070,19562,19125,11747,144124,73620,70504
06109,"Tuolumne County, California",1195,1300,1505,1001,1133,1201,1415,932,9682,5001,4681
