GEOID,year,sum(gis_acres),n()
06001,2011,1179.306625366211,3
06001,2015,2989.92529296875,1
06001,2018,702.3485260009766,2
06003,2012,180.1101837158203,1
06003,2014,94.2165756225586,1
06003,2015,17779.5390625,1
06003,2016,649.8756103515625,1
06003,2017,13413.316734313965,3
06003,2018,36712.95473378897,5
06005,2011,342.9043273925781,1
06005,2013,16.324010848999023,1
06005,2014,4239.27197265625,1
06005,2015,70846.53125,1
06005,2016,773.1814889907837,8
06005,2017,33.47631296515465,3
06005,2018,824.97784423828125,1
06007,2011,48.19082164764404,4
06007,2012,265.9239501953125,3
06007,2013,3187.1208572387695,7
06007,2014,713.93194580078125,2
06007,2015,2488.794011116028,7
06007,2016,1640.222219467163,6
06007,2017,34956.031953811646,9
06007,2018,155141.882147789,6
06009,2011,967.410888671875,5
06009,2012,1436.9652099609375,4
06009,2013,57.684736251831055,2
06009,2015,70846.53125,1
06009,2016,1343.9121046066284,11
06009,2017,368.6872043609619,6
06009,2018,12296.010108470917,7
06011,2012,56999.58349609375,4
06011,2014,24.136516571044922,1
06011,2015,69438.1640625,1
06011,2017,80.7557954788208,3
06011,2018,425398.46875,2
06013,2011,17.324066162109375,1
06013,2013,3585.7703857421875,2
06013,2018,247.05007934570312,1
06015,2011,20.655536651611328,1
06015,2013,10.095789909362793,1
06015,2014,0.4986372590065,1
06015,2015,37968.29685497284,8
06015,2017,91379.11748313904,3
06015,2018,38122.68945455551,2
06017,2011,682.1690492630005,9
06017,2012,44.3057861328125,1
06017,2013,616.5545425415039,4
06017,2014,4260.976974487305,2
06017,2015,106.08145904541016,2
06017,2016,5894.238506317139,4
06017,2017,2078.2191715985537,10
06017,2018,594.4569635391235,5
06019,2011,912.3417835235596,12
06019,2012,1464.328353881836,11
06019,2013,23949.442578315735,8
06019,2014,195.34848952293396,6
06019,2015,151906.91319465637,5
06019,2016,16393.766941070557,18
06019,2017,69448.53900146484,24
06019,2018,2258.0626380443573,16
06021,2012,4429.40087890625,1
06021,2013,434.1023406982422,2
06021,2014,268.6306800842285,2
06021,2018,412651.55628204346,4
06023,2011,641.9267044067383,3
06023,2012,202.86909800767899,7
06023,2013,35640.22507572174,7
06023,2014,623.0688781738281,6
06023,2015,139941.66636943817,22
06023,2016,682.6808271408081,5
06023,2017,160.43703937530518,6
06023,2018,4038.0803894996643,6
06025,2011,766.7378234863281,2
06025,2012,172.37859916687012,2
06025,2013,261.7239990234375,1
06025,2017,66.9986343383789,1
06027,2011,7429.336585998535,5
06027,2012,1584.8578538894653,3
06027,2013,435.64929580688477,3
06027,2014,131.5793857574463,2
06027,2015,6537.5185546875,1
06027,2016,1920.9741353988647,5
06027,2017,102.3530721962452,3
06027,2018,6271.9752197265625,3
06029,2011,106402.13568496704,43
06029,2012,17129.135332897305,56
06029,2013,7102.310919731855,28
06029,2014,8529.978754997253,7
06029,2015,139.7443027496338,6
06029,2016,80067.1715015024,31
06029,2017,9510.879194393754,42
06029,2018,4867.463687554002,23
06031,2011,64.31986236572266,1
06031,2012,2573.7285118103027,2
06031,2017,48929.53169631958,3
06031,2018,73.3264217376709,2
06033,2012,12757.289611816406,4
06033,2013,1074.3907052278519,14
06033,2014,4405.687538146973,3
06033,2015,171779.16568946838,9
06033,2016,4280.169588088989,9
06033,2017,2545.688320159912,9
06033,2018,474635.0046238899,9
06035,2011,709.5608005523682,5
06035,2012,327308.5809326172,9
06035,2013,5430.703857421875,2
06035,2015,10702.671160697937,5
06035,2016,2601.918571472168,2
06035,2017,110530.19777679443,20
06035,2018,20315.932052612305,13
06037,2011,2532.9836375564337,32
06037,2012,6335.538539856672,32
06037,2013,31934.12519016117,28
06037,2014,2537.212382622063,20
06037,2015,NA,47
06037,2016,48784.34453686327,33
06037,2017,31255.130235489458,47
06037,2018,103865.6859189868,28
06039,2011,29.78786849975586,2
06039,2012,35.673542976379395,3
06039,2013,23642.6469039917,4
06039,2014,903.9033866524696,10
06039,2015,7255.93603515625,4
06039,2016,1289.864673614502,5
06039,2017,23532.021348953247,8
06039,2018,14301.138862609863,4
06041,2011,11.094524992746301,7
06041,2012,138.3698844909668,3
06041,2013,5.751117944717407,2
06041,2015,3.554777145385742,1
06041,2016,1.1944348514080039,2
06041,2017,69.39010463375598,6
06041,2018,1.362324118614197,1
06043,2011,7312.5594482421875,3
06043,2012,3397.556637763977,4
06043,2013,258082.47406012565,15
06043,2014,12188.78347248584,31
06043,2015,588.5162314325571,9
06043,2016,1154.1462180167437,27
06043,2017,112043.90910838544,34
06043,2018,102022.17292022705,6
06045,2011,643.9498291015625,1
06045,2012,47018.10414427519,12
06045,2013,425.6713171005249,5
06045,2014,13089.359003067017,7
06045,2015,209.99256134033203,5
06045,2016,100.10544204711914,3
06045,2017,36522.9453125,1
06045,2018,460062.1435546875,3
06047,2011,1019.4496459960938,2
06047,2013,431.1986389160156,1
06047,2015,1728.9737548828125,1
06047,2016,1246.3189697265625,1
06047,2017,1730.4664306640625,1
06047,2018,6303.1636962890625,2
06049,2011,6477.1915283203125,4
06049,2012,109145.20043945312,9
06049,2013,227.31459045410156,4
06049,2014,16054.326844215393,11
06049,2015,5002.9667139053345,5
06049,2016,3025.309066772461,3
06049,2017,93156.71800804138,31
06049,2018,42153.28454589844,9
06051,2011,1045.6090087890625,1
06051,2012,12638.266346931458,4
06051,2013,14267.0927734375,1
06051,2014,184.55722045898438,3
06051,2015,10892.73266029358,4
06051,2016,9063.880669593811,5
06051,2017,9333.866639137268,3
06051,2018,7729.003499031067,4
06053,2011,2106.7962589263916,15
06053,2012,2787.783889770508,9
06053,2013,1246.6843423843384,4
06053,2014,245.73745727539062,2
06053,2015,1231.9551467895508,3
06053,2016,185334.90298461914,12
06053,2017,52602.55491781235,12
06053,2018,3859.8508558273315,8
06055,2011,507.806884765625,1
06055,2012,196.72178649902344,1
06055,2013,578.1733010709286,7
06055,2014,4297.349609375,1
06055,2015,109280.26605415344,4
06055,2016,5788.2244663238525,3
06055,2017,144320.11488056183,8
06055,2018,92581.17081356049,8
06057,2011,16.591211318969727,1
06057,2013,57.11117172241211,2
06057,2014,388.2548761367798,4
06057,2015,2363.9414024353027,3
06057,2016,72.41442584991455,3
06057,2017,1416.890872001648,10
06057,2018,8.581826210021973,1
06059,2011,524.9666386842728,3
06059,2012,43.97403335571289,1
06059,2014,959.012939453125,1
06059,2015,243.28371810913086,3
06059,2016,478.4658784866333,9
06059,2017,12624.75419095601,29
06059,2018,23369.598075735383,21
06061,2011,305.7714672088623,5
06061,2012,3030.0232543945312,7
06061,2013,27768.852862238884,8
06061,2014,600.8125910758972,5
06061,2015,904.4410419464111,9
06061,2016,5967.162314414978,9
06061,2017,73.40438264608383,7
06061,2018,1947.5163407325745,8
06063,2011,27.34136390686035,1
06063,2012,77073.33860731125,4
06063,2013,489.6368774175644,6
06063,2014,28.614200592041016,1
06063,2015,159.43602180480957,3
06063,2016,260.57288360595703,2
06063,2017,6355.84016418457,11
06063,2018,153821.21714401245,5
06065,2011,2974.1359310150146,20
06065,2012,7717.072054833174,35
06065,2013,57883.033094882965,21
06065,2014,1150.829158782959,9
06065,2015,1945.2064504623413,10
06065,2016,1776.7627639770508,7
06065,2017,16466.625140190125,20
06065,2018,38612.04481315613,10
06067,2015,1001.7587280273438,2
06067,2016,530.3521404266357,4
06067,2017,1506.0267181396484,2
06067,2018,399.6904764175415,4
06069,2011,176.73663330078125,6
06069,2012,124.06377601623535,2
06069,2013,446.4067840576172,2
06069,2015,743.0906448364258,2
06069,2016,446.5765314102173,5
06069,2017,136.29521369934082,4
06069,2018,2505.830047607422,9
06071,2011,5002.237646579742,19
06071,2012,809.1920099258423,14
06071,2013,5394.520429134369,14
06071,2014,2186.530601501465,3
06071,2015,35831.33614563942,9
06071,2016,45387.2191734314,8
06071,2017,7727.413694381714,23
06071,2018,1760.6168413162231,8
06073,2011,16827.72548675537,7
06073,2012,34057.960451960564,18
06073,2013,14510.045934915543,16
06073,2014,26849.50129032135,14
06073,2015,431.28354358673096,6
06073,2016,9166.035824775696,11
06073,2017,7832.383779525757,18
06073,2018,1462.8487606886774,15
06077,2011,431.7294006347656,1
06077,2012,45.99245071411133,1
06077,2013,286.8054389953613,2
06077,2015,2989.92529296875,1
06077,2017,194.66221237182617,2
06077,2018,11823.253532409668,2
06079,2011,7597.6791977882385,13
06079,2012,966.4765396118164,5
06079,2013,858.5801105499268,8
06079,2014,32.171173095703125,2
06079,2015,4385.580286979675,5
06079,2016,48684.48157119751,13
06079,2017,36036.808190345764,30
06079,2018,1541.5833424031734,20
06081,2017,36.337745666503906,1
06083,2011,1399.782558441162,9
06083,2012,54.99512767791748,2
06083,2013,1912.0496826171875,1
06083,2014,631.813720703125,1
06083,2015,323.26107597351074,6
06083,2016,53022.91965675354,6
06083,2017,330097.50915813446,16
06083,2018,1992.45969581604,9
06085,2011,13.91882038116455,1
06085,2015,217.7269287109375,1
06085,2016,4682.833511352539,3
06085,2017,313.9149169921875,3
06085,2018,321.404541015625,1
06087,2016,4474.12353515625,1
06087,2017,317.20098876953125,1
06087,2018,24.666337966918945,2
06089,2011,40.284828662872314,3
06089,2012,105118.02526187897,13
06089,2013,8395.825112819672,6
06089,2014,14104.745730400085,4
06089,2015,357.4220199584961,5
06089,2016,470.586124420166,5
06089,2017,1267.5852389335632,6
06089,2018,343557.55562353134,15
06091,2011,12.723128318786621,1
06091,2014,84.36645317077637,2
06091,2016,23.262161254882812,1
06091,2017,139.46694946289062,1
06093,2011,2587.3473823964596,20
06093,2012,23418.520062468946,31
06093,2013,37409.1588152796,13
06093,2014,239073.2107591629,17
06093,2015,24096.968160629272,14
06093,2016,36781.4937139079,15
06093,2017,228416.84223371744,57
06093,2018,76742.07659307122,18
06095,2011,702.76495361328125,1
06095,2014,100.85819721221924,3
06095,2015,8049.33447265625,1
06095,2016,58.760162353515625,1
06095,2017,51870.06141376495,6
06095,2018,2158.429443359375,1
06097,2011,28.647680282592773,1
06097,2012,35.28024435043335,2
06097,2013,3956.329569339752,6
06097,2015,76084.8359375,1
06097,2016,1561.2428770065308,2
06097,2017,112529.705555439,13
06097,2018,12.975188255310059,1
06099,2011,1254.7266693115234,3
06099,2016,154.24846267700195,3
06099,2017,159.77062511444092,4
06099,2018,11905.579790115356,4
06101,2011,381.1180477142334,3
06101,2012,39.424739837646484,1
06101,2015,644.16845703125,1
06101,2016,315.7603759765625,1
06101,2018,1355.5855751037598,3
06103,2012,71202.51607513428,4
06103,2013,18452.34352493286,4
06103,2014,864.94683837890625,1
06103,2015,359.7030950188637,11
06103,2016,1115.145434141159,14
06103,2017,13758.619304656982,4
06103,2018,11618.157484054565,11
06105,2011,1495.4907417297363,3
06105,2012,6306.5949993133545,6
06105,2013,12587.565462112427,4
06105,2014,13167.911093711853,5
06105,2015,220193.71626669914,43
06105,2016,29.650179147720337,2
06105,2017,40227.04677391052,10
06105,2018,295283.35472106934,5
06107,2011,25185.949030846357,13
06107,2012,1965.1616206169128,3
06107,2013,2403.7575523629785,7
06107,2014,1467.8900121450424,5
06107,2015,159275.84287071228,6
06107,2016,42316.68884277344,8
06107,2017,80006.4621143341,15
06107,2018,8437.643065452576,10
06109,2011,1992.5031056404114,10
06109,2012,2405.4529418945312,9
06109,2013,257437.20991978794,14
06109,2014,39.996116921305656,25
06109,2015,767.0890474319458,8
06109,2016,1228.255445547402,10
06109,2017,8106.253888167441,22
06109,2018,134255.5310781002,10
06111,2011,180.17763996124268,8
06111,2012,1362.6255340576172,10
06111,2013,28718.83038020134,10
06111,2014,49.11532647162676,7
06111,2015,NA,37
06111,2016,2510.859109684825,14
06111,2017,288068.0222632885,19
06111,2018,101847.31214957382,62
06113,2012,18543.997680664062,2
06113,2014,7007.040005683899,4
06113,2015,102605.87548828125,3
06113,2016,5978.975646972656,3
06113,2017,2366.23486328125,1
06113,2018,90665.46365261078,3
06115,2011,784.8376770019531,8
06115,2012,698.9450540542603,10
06115,2013,589.8487358093262,8
06115,2014,33.160879135131836,3
06115,2015,261.132604598999,5
06115,2016,568.3003015518188,8
06115,2017,17145.934057235718,8
06115,2018,69.7054271697998,3
